Target Category,Category,Term,,Short Definition,Why It Matters
Remove,Hamel's list,Context Window,The maximum text the model can use at once. ◆ The model has a limit on how much text it can handle. You need to manage this to fit important info.,The maximum text the model can use at once.,The model has a limit on how much text it can handle. You need to manage this to fit important info.
Remove,Reinforcement Learning (RL),Distillation risk,"The risk that a competitor could steal a model's advanced reasoning abilities by training their own model on its detailed outputs. ◆ This is why some companies hide the ""thinking"" process of their reasoning models, as it's a valuable and hard-won capability.",The risk that a competitor could steal a model's advanced reasoning abilities by training their own model on its detailed outputs.,"This is why some companies hide the ""thinking"" process of their reasoning models, as it's a valuable and hard-won capability."
Remove,Pre training,Embedding,The process of converting discrete tokens into continuous numerical vectors that the network can process. ◆ This allows the model to understand relationships between tokens and is the first step in processing input text.,The process of converting discrete tokens into continuous numerical vectors that the network can process.,This allows the model to understand relationships between tokens and is the first step in processing input text.
Pre training,Hamel's list,"Transformer
Rel: attention","The main type of neural network architecture used in AI today ◆ It provides the crucial ability for understanding language, letting the model focus on relevant parts of input. It makes language models faster, more accurate and capable of capturing nuanced meaning.",The main type of neural network architecture used in AI today,"It provides the crucial ability for understanding language, letting the model focus on relevant parts of input. It makes language models faster, more accurate and capable of capturing nuanced meaning."
Remove,Pre training,Few-shot prompt,A prompt that includes several examples of a task to guide the model on how to perform it correctly. ◆ It's a powerful technique for controlling model output and getting it to perform specific tasks without having to retrain it.,A prompt that includes several examples of a task to guide the model on how to perform it correctly.,It's a powerful technique for controlling model output and getting it to perform specific tasks without having to retrain it.
Remove,Post training,Supervised Fine-Tuning (SFT),"The process of continuing to train a base model on a smaller, high-quality dataset of example conversations. ◆ This is the primary method for teaching the model how to behave like a helpful assistant by showing it examples of ideal responses.","The process of continuing to train a base model on a smaller, high-quality dataset of example conversations.",This is the primary method for teaching the model how to behave like a helpful assistant by showing it examples of ideal responses.
Remove,Hamel's list,Function Calling,"Getting the model to trigger actions or code. ◆ Allows AI to interact with apps, making it useful for tasks like getting data or automating jobs.",Getting the model to trigger actions or code.,"Allows AI to interact with apps, making it useful for tasks like getting data or automating jobs."
Pre training,Pre training,Vocabulary,The complete set of unique tokens that a model can recognize and produce. ◆ The vocabulary defines the atomic units of language the model works with. Its size is a key design choice in an LLM's architecture.,The complete set of unique tokens that a model can recognize and produce.,The vocabulary defines the atomic units of language the model works with. Its size is a key design choice in an LLM's architecture.
Remove,Pre training,Hallucination,"When a model confidently generates incorrect or nonsensical information. ◆ This is a major reliability problem. The model doesn't ""know"" when it's making things up; it's just predicting the statistically likely next token.",When a model confidently generates incorrect or nonsensical information.,"This is a major reliability problem. The model doesn't ""know"" when it's making things up; it's just predicting the statistically likely next token."
Remove,Post training,Human labelers,"People hired to create the ideal conversational data used for SFT. ◆ They are the source of the ""good"" behavior that the model learns to imitate. The quality of their work directly shapes the AI's personality and helpfulness.",People hired to create the ideal conversational data used for SFT.,"They are the source of the ""good"" behavior that the model learns to imitate. The quality of their work directly shapes the AI's personality and helpfulness."
Post training,Hamel's list,Chain of Thought,"Prompting the model to think and plan before answering. ◆ When the model thinks first, it gives better answers but takes longer. This trade-off affects speed and quality.",Prompting the model to think and plan before answering.,"When the model thinks first, it gives better answers but takes longer. This trade-off affects speed and quality."
Remove,Pre training,Inference,"The process of using a fully trained model to generate new text by repeatedly predicting the next token in a sequence. ◆ This is what happens when you interact with a chatbot like ChatGPT. The model is no longer learning, only generating.",The process of using a fully trained model to generate new text by repeatedly predicting the next token in a sequence.,"This is what happens when you interact with a chatbot like ChatGPT. The model is no longer learning, only generating."
Post training,Hamel's list,Fine-Tuning,Adjusting a pre-trained model for a specific job. ◆ It helps make the AI better for your needs by teaching it with your data. But it might become less good at general tasks. Fine-tuning works best for specific jobs where you need higher accuracy.,Adjusting a pre-trained model for a specific job.,It helps make the AI better for your needs by teaching it with your data. But it might become less good at general tasks. Fine-tuning works best for specific jobs where you need higher accuracy.
Post training,Post training,"Tools
Rel: Tool use","Giving AI the ability to call external programs, like a web search, a calculator, a database, or a code interpreter. ◆ This overcomes the model's inherent limitations (like knowledge cut-offs or poor arithmetic) by allowing it to access real-time data and precise computation. Having tools to access the file system or databases can support the ""skill"" of programming.","Giving AI the ability to call external programs, like a web search, a calculator, a database, or a code interpreter.","This overcomes the model's inherent limitations (like knowledge cut-offs or poor arithmetic) by allowing it to access real-time data and precise computation. Having tools to access the file system or databases can support the ""skill"" of programming."
Remove,Pre training,"Layer norms, Matrix multiplications, Softmaxes","The fundamental mathematical operations that make up the layers of a Transformer network. ◆ These simple, repeated calculations, when performed at a massive scale, enable the complex processing that LLMs do.",The fundamental mathematical operations that make up the layers of a Transformer network.,"These simple, repeated calculations, when performed at a massive scale, enable the complex processing that LLMs do."
Remove,Reinforcement Learning (RL),LLM Judge,"Using a powerful LLM to automatically evaluate the quality of another LLM's output. ◆ This is a scalable way to get feedback for training, especially in domains that are hard to score with simple rules.",Using a powerful LLM to automatically evaluate the quality of another LLM's output.,"This is a scalable way to get feedback for training, especially in domains that are hard to score with simple rules."
Remove,Pre training,Logits / Softmax,The raw scores (logits) and resulting probabilities (softmax) that the model assigns to each possible next token. ◆ This output distribution represents the model's prediction. The model then samples from these probabilities to choose the next token.,The raw scores (logits) and resulting probabilities (softmax) that the model assigns to each possible next token.,This output distribution represents the model's prediction. The model then samples from these probabilities to choose the next token.
Post training,Hamel's list,Guardrails,Safety rules to control model outputs. ◆ Guardrails help reduce the chance of the AI giving bad or harmful answers. But they are not perfect. It’s important to use them wisely and not rely on them completely.,Safety rules to control model outputs.,Guardrails help reduce the chance of the AI giving bad or harmful answers. But they are not perfect. It’s important to use them wisely and not rely on them completely.
Remove,Pre training,Maximum context length,The maximum number of tokens the model can process at one time to make a prediction. ◆ This is a critical limitation. A longer context length allows the model to understand more complex documents and maintain longer conversations.,The maximum number of tokens the model can process at one time to make a prediction.,This is a critical limitation. A longer context length allows the model to understand more complex documents and maintain longer conversations.
Remove,Future Capabilities,Multimodal,"The ability for a single model to understand and generate information across multiple formats like text, images, and audio. ◆ This is the next major frontier, moving AI from text-only chatbots to assistants that can see, hear, and speak, making them far more versatile.","The ability for a single model to understand and generate information across multiple formats like text, images, and audio.","This is the next major frontier, moving AI from text-only chatbots to assistants that can see, hear, and speak, making them far more versatile."
Post training,Reinforcement Learning (RL),"Thinking model
Rel: reasoning model","A model that has undergone extensive RL, making it adept at complex, multi-step problem solving. ◆ These models represent the frontier of AI capabilities, moving from simple Q&A to genuine problem-solving.","A model that has undergone extensive RL, making it adept at complex, multi-step problem solving.","These models represent the frontier of AI capabilities, moving from simple Q&A to genuine problem-solving."
Post training,Reinforcement Learning (RL),"Reinforcement Learning (RL)
Rel: RLHF, RLAIF","Training by making the AI do exercises and learn from its mistakes ◆ RL allows the model to go beyond imitating human experts and discover novel, more effective strategies for solving problems on its own. This is how it acquired difficult skills like solving math problems, or writing code.

It can get the feedback from humans (RLHF) or from another AI model (RLAIF).",Training by making the AI do exercises and learn from its mistakes,"RL allows the model to go beyond imitating human experts and discover novel, more effective strategies for solving problems on its own. This is how it acquired difficult skills like solving math problems, or writing code.

It can get the feedback from humans (RLHF) or from another AI model (RLAIF)."
Remove,Hamel's list,Reinforcement Learning from Human Feedback (RLHF),"Training AI using people’s feedback. ◆ It helps the AI learn from what people like or don’t like, making its answers better. But it’s a complex method, and you might not need it right away.",Training AI using people’s feedback.,"It helps the AI learn from what people like or don’t like, making its answers better. But it’s a complex method, and you might not need it right away."
AI Engineering,Future Capabilities,Agents,AI systems that can autonomously perform a sequence of tasks over time to achieve a complex goal. ◆ Agents represent the shift from single-shot commands to having AI assistants that can manage long-running jobs and projects.,AI systems that can autonomously perform a sequence of tasks over time to achieve a complex goal.,Agents represent the shift from single-shot commands to having AI assistants that can manage long-running jobs and projects.
AI Engineering,Future Capabilities,Open weights model,"A model whose parameters are publicly released, allowing anyone to use, modify, and build upon it. ◆ This fosters innovation and competition, preventing the most powerful AI technology from being controlled by only a handful of large corporations.","A model whose parameters are publicly released, allowing anyone to use, modify, and build upon it.","This fosters innovation and competition, preventing the most powerful AI technology from being controlled by only a handful of large corporations."
Remove,Reinforcement Learning (RL),Reward model,"A model trained to predict which of two responses a human is likely to prefer. ◆ It acts as a scalable, automated proxy for human judgment, making it possible to apply RL to improve qualities like helpfulness and harmlessness.",A model trained to predict which of two responses a human is likely to prefer.,"It acts as a scalable, automated proxy for human judgment, making it possible to apply RL to improve qualities like helpfulness and harmlessness."
Remove,Post training,Special tokens,"New tokens added to the vocabulary to structure conversations, marking the beginning and end of turns for the user and assistant. ◆ They provide the necessary structure for the model to understand the format of a dialogue, which is different from the free-form text it saw in pre-training.","New tokens added to the vocabulary to structure conversations, marking the beginning and end of turns for the user and assistant.","They provide the necessary structure for the model to understand the format of a dialogue, which is different from the free-form text it saw in pre-training."
AI Engineering,,Context Engineering,"Context engineering is the art and science of strategically assembling all necessary information—such as task descriptions, few-shot examples, retrieved data (RAG), tools, and conversation history—into an LLM's context window to optimize its performance for the next step. ◆ An LLM's performance is critically dependent on the quality and relevance of the information in its context window. Providing too little information leads to poor results, while too much or irrelevant information increases costs and can degrade performance.","Context engineering is the art and science of strategically assembling all necessary information—such as task descriptions, few-shot examples, retrieved data (RAG), tools, and conversation history—into an LLM's context window to optimize its performance for the next step.","An LLM's performance is critically dependent on the quality and relevance of the information in its context window. Providing too little information leads to poor results, while too much or irrelevant information increases costs and can degrade performance."
,,,,,
AI Engineering,Hamel's list,Embeddings,"Turning words into numbers that show meaning. ◆ Embeddings let you search documents by meaning, not just exact words. This helps you find information even if different words are used, making searches smarter and more accurate.",Turning words into numbers that show meaning.,"Embeddings let you search documents by meaning, not just exact words. This helps you find information even if different words are used, making searches smarter and more accurate."
AI Engineering,Hamel's list,Few-Shot Learning,"Teaching the model with only a few examples. ◆ By giving the model examples, you can guide it to behave the way you want. It’s a simple but powerful way to teach the AI what is good or bad.",Teaching the model with only a few examples.,"By giving the model examples, you can guide it to behave the way you want. It’s a simple but powerful way to teach the AI what is good or bad."
AI Engineering,Hamel's list,Retrieval Augmented Generation (RAG),"Providing relevant context to the LLM. ◆ A language model needs proper context to answer questions. Like a person, it needs access to information such as data, past conversations, or documents to give a good answer. Collecting and giving this info to the AI before asking helps prevent mistakes or it saying, “I don’t know.”",Providing relevant context to the LLM.,"A language model needs proper context to answer questions. Like a person, it needs access to information such as data, past conversations, or documents to give a good answer. Collecting and giving this info to the AI before asking helps prevent mistakes or it saying, “I don’t know.”"
,,,,,
AI Engineering,Hamel's list,Temperature,A setting that controls how creative AI responses are. ◆ Lets you choose between predictable or more imaginative answers. Adjusting temperature can affect the quality and usefulness of the AI’s responses.,A setting that controls how creative AI responses are.,Lets you choose between predictable or more imaginative answers. Adjusting temperature can affect the quality and usefulness of the AI’s responses.
Remove,Reinforcement Learning (RL),Unverifiable domains,"Subjective tasks like writing a poem or a joke, where there is no single ""correct"" answer to check against. ◆ These domains pose a challenge for standard RL, which requires a clear reward signal.","Subjective tasks like writing a poem or a joke, where there is no single ""correct"" answer to check against.","These domains pose a challenge for standard RL, which requires a clear reward signal."
AI Engineering,Hamel's list,Top-p Sampling,Choosing the next word from top choices making up a set probability. ◆ Balances predictability and creativity in AI responses. The trade-off is between safe answers and more varied ones.,Choosing the next word from top choices making up a set probability.,Balances predictability and creativity in AI responses. The trade-off is between safe answers and more varied ones.
Remove,Reinforcement Learning (RL),Verifiable domains,"Tasks like math or coding, where a solution can be automatically and objectively checked for correctness. ◆ These are the ideal environments for RL because it's easy to provide the model with a clear success or failure signal.","Tasks like math or coding, where a solution can be automatically and objectively checked for correctness.",These are the ideal environments for RL because it's easy to provide the model with a clear success or failure signal.
AI Engineering,Hamel's list,Vector Database,"A special database for storing and searching embeddings. ◆ They store embeddings of text, images, and more, so you can search by meaning. This makes finding similar items faster and improves searches and recommendations.",A special database for storing and searching embeddings.,"They store embeddings of text, images, and more, so you can search by meaning. This makes finding similar items faster and improves searches and recommendations."
Remove,Hamel's list,Zero-Shot Learning,"When the model does a new task without training or examples. ◆ This means you don’t give any examples to the AI. While it’s good for simple tasks, not providing examples might make it harder for the AI to perform well on complex tasks. Giving examples helps, but takes up space in the prompt. You need to balance prompt space with the need for examples.",When the model does a new task without training or examples.,"This means you don’t give any examples to the AI. While it’s good for simple tasks, not providing examples might make it harder for the AI to perform well on complex tasks. Giving examples helps, but takes up space in the prompt. You need to balance prompt space with the need for examples."
